#TYPE Selected.System.Management.Automation.PSCustomObject
"P2","P3","P4","P5"
"TCP","127.0.0.1:61962","thig1:61963","ESTABLISHED"
"TCP","127.0.0.1:61963","thig1:61962","ESTABLISHED"
"TCP","127.0.0.1:61968","thig1:61969","ESTABLISHED"
"TCP","127.0.0.1:61969","thig1:61968","ESTABLISHED"
"TCP","127.0.0.1:61975","thig1:61976","ESTABLISHED"
"TCP","127.0.0.1:61976","thig1:61975","ESTABLISHED"
"TCP","127.0.0.1:64970","thig1:0","LISTENING"
"TCP","127.0.0.1:65450","thig1:1521","ESTABLISHED"
"TCP","[::]:80","thig1:0","LISTENING"
"TCP","[::]:135","thig1:0","LISTENING"
"TCP","[::]:445","thig1:0","LISTENING"
"TCP","[::]:5500","thig1:0","LISTENING"
"TCP","[::]:8082","thig1:0","LISTENING"
"TCP","[::]:17500","thig1:0","LISTENING"
"TCP","[::]:49664","thig1:0","LISTENING"
"TCP","[::]:49665","thig1:0","LISTENING"
"TCP","[::]:49666","thig1:0","LISTENING"
"TCP","[::]:49667","thig1:0","LISTENING"
"TCP","[::]:49668","thig1:0","LISTENING"
"TCP","[::]:49669","thig1:0","LISTENING"
"TCP","[::]:49675","thig1:0","LISTENING"
"TCP","[::]:65451","thig1:0","LISTENING"
"TCP","[::1]:49706","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064::137d]:2032","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064:579:d421:da13:2fad]:2032","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064:a53d:3e2:b9df:afda]:2032","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:49499","[2620:1ec:c::11]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:50179","[2603:1036:404:67::2]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:52881","[2620:100:601c:3::a27d:603]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:52882","[2620:100:601c:7::a27d:607]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53153","[2607:f8b0:400d:c0f::bd]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53191","iad30s07-in-x03:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53192","xx-fbcdn6-shv-01-iad3:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53193","[2001:559:19:309b::753]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53194","iad23s42-in-x2003:http","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53200","[2603:1036:406:6e::2]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53256","iad30s09-in-x0e:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53257","iad30s09-in-x0e:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53304","[2a05:f500:10:101::b93f:9101]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53305","[2a05:f500:10:101::b93f:9101]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53308","[2001:559:19:3092::25ea]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53310","[2620:109:c002::6cae:a0a]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53311","[2620:109:c002::6cae:a0a]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:55668","[2001:559:19:3097::57]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:65036","[2620:119:50e0:105::6cae:b11]:https","ESTABLISHED"
"TCP","[fe80::a53d:3e2:b9df:afda%7]:2032","thig1:0","LISTENING"
"UDP","0.0.0.0:5050","*:*",""
"UDP","0.0.0.0:5353","*:*",""
"UDP","0.0.0.0:5355","*:*",""
"UDP","0.0.0.0:17500","*:*",""
"UDP","0.0.0.0:57946","*:*",""
"UDP","0.0.0.0:63691","*:*",""
"UDP","10.0.0.76:137","*:*",""
"UDP","10.0.0.76:138","*:*",""
"UDP","10.0.0.76:1900","*:*",""
"UDP","10.0.0.76:58238","*:*",""
"UDP","127.0.0.1:1233","*:*",""
"UDP","127.0.0.1:1900","*:*",""
"UDP","127.0.0.1:49666","*:*",""
"UDP","127.0.0.1:58239","*:*",""
"UDP","[::]:5353","*:*",""
"UDP","[::]:5355","*:*",""
"UDP","[::]:63691","*:*",""
"UDP","[::1]:1900","*:*",""
"UDP","[::1]:58237","*:*",""
"UDP","[fe80::a53d:3e2:b9df:afda%7]:1900","*:*",""
"UDP","[fe80::a53d:3e2:b9df:afda%7]:58236","*:*",""
