#TYPE Selected.System.Management.Automation.PSCustomObject
"P2","P3","P4","P5"
"TCP","10.0.0.76:53645","lb-192-30-253-125-iad:https","ESTABLISHED"
"TCP","10.0.0.76:53653","iad23s63-in-f14:https","TIME_WAIT"
"TCP","10.0.0.76:53654","iad23s63-in-f14:https","TIME_WAIT"
"TCP","10.0.0.76:53657","13.77.92.139:https","TIME_WAIT"
"TCP","10.0.0.76:53658","13.77.92.139:https","TIME_WAIT"
"TCP","10.0.0.76:53662","52.114.77.33:https","TIME_WAIT"
"TCP","10.0.0.76:53663","iad23s41-in-f67:https","ESTABLISHED"
"TCP","10.0.0.76:53664","iad23s41-in-f67:https","ESTABLISHED"
"TCP","10.0.0.76:53665","13.77.92.139:https","ESTABLISHED"
"TCP","10.0.0.76:53666","13.77.92.139:https","TIME_WAIT"
"TCP","10.0.0.76:53669","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:53670","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:53671","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:53672","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:53673","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:53674","1drv:https","ESTABLISHED"
"TCP","10.0.0.76:53677","13.107.3.128:https","ESTABLISHED"
"TCP","10.0.0.76:53678","20.36.253.92:https","ESTABLISHED"
"TCP","10.0.0.76:53679","a23-216-151-217:https","ESTABLISHED"
"TCP","10.0.0.76:53680","13.107.21.200:https","ESTABLISHED"
"TCP","10.0.0.76:53682","a-0001:https","ESTABLISHED"
"TCP","10.0.0.76:53684","spcms:https","ESTABLISHED"
"TCP","10.0.0.76:53685","417:https","ESTABLISHED"
"TCP","10.0.0.76:53686","137:https","ESTABLISHED"
"TCP","10.0.0.76:53689","ec2-18-233-196-178:https","ESTABLISHED"
"TCP","10.0.0.76:53690","ec2-34-204-206-255:https","ESTABLISHED"
"TCP","10.0.0.76:53694","40.83.21.197:https","ESTABLISHED"
"TCP","10.0.0.76:53696","303:https","ESTABLISHED"
"TCP","10.0.0.76:53697","74.121.138.91:https","ESTABLISHED"
"TCP","10.0.0.76:53698","tp00-va5:https","ESTABLISHED"
"TCP","10.0.0.76:53700","63.251.210.243:https","SYN_SENT"
"TCP","10.0.0.76:53701","49:https","ESTABLISHED"
"TCP","10.0.0.76:53702","74.217.253.61:https","SYN_SENT"
"TCP","10.0.0.76:53703","iad23s40-in-f2:https","SYN_SENT"
"TCP","10.0.0.76:54744","40.122.27.40:https","CLOSE_WAIT"
"TCP","10.0.0.76:54785","md-in-44:https","CLOSE_WAIT"
"TCP","10.0.0.76:54788","104.25.27.33:https","CLOSE_WAIT"
"TCP","10.0.0.76:55376","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:55612","52.173.24.17:https","ESTABLISHED"
"TCP","10.0.0.76:59221","40.122.32.58:https","CLOSE_WAIT"
"TCP","10.0.0.76:60053","adobe:https","CLOSE_WAIT"
"TCP","127.0.0.1:843","thig1:0","LISTENING"
"TCP","127.0.0.1:1521","thig1:0","LISTENING"
"TCP","127.0.0.1:1521","thig1:65450","ESTABLISHED"
"TCP","127.0.0.1:17600","thig1:0","LISTENING"
"TCP","127.0.0.1:23132","thig1:0","LISTENING"
"TCP","127.0.0.1:50911","thig1:0","LISTENING"
"TCP","127.0.0.1:61847","thig1:0","LISTENING"
"TCP","127.0.0.1:61962","thig1:61963","ESTABLISHED"
"TCP","127.0.0.1:61963","thig1:61962","ESTABLISHED"
"TCP","127.0.0.1:61968","thig1:61969","ESTABLISHED"
"TCP","127.0.0.1:61969","thig1:61968","ESTABLISHED"
"TCP","127.0.0.1:61975","thig1:61976","ESTABLISHED"
"TCP","127.0.0.1:61976","thig1:61975","ESTABLISHED"
"TCP","127.0.0.1:64970","thig1:0","LISTENING"
"TCP","127.0.0.1:65450","thig1:1521","ESTABLISHED"
"TCP","[::]:80","thig1:0","LISTENING"
"TCP","[::]:135","thig1:0","LISTENING"
"TCP","[::]:445","thig1:0","LISTENING"
"TCP","[::]:5500","thig1:0","LISTENING"
"TCP","[::]:8082","thig1:0","LISTENING"
"TCP","[::]:17500","thig1:0","LISTENING"
"TCP","[::]:49664","thig1:0","LISTENING"
"TCP","[::]:49665","thig1:0","LISTENING"
"TCP","[::]:49666","thig1:0","LISTENING"
"TCP","[::]:49667","thig1:0","LISTENING"
"TCP","[::]:49668","thig1:0","LISTENING"
"TCP","[::]:49669","thig1:0","LISTENING"
"TCP","[::]:49675","thig1:0","LISTENING"
"TCP","[::]:65451","thig1:0","LISTENING"
"TCP","[::1]:49706","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064::137d]:2032","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064:579:d421:da13:2fad]:2032","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064:a53d:3e2:b9df:afda]:2032","thig1:0","LISTENING"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:49499","[2620:1ec:c::11]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:52881","[2620:100:601c:3::a27d:603]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:52882","[2620:100:601c:7::a27d:607]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53153","[2607:f8b0:400d:c0f::bd]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53191","iad30s07-in-x03:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53192","xx-fbcdn6-shv-01-iad3:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53193","[2001:559:19:309b::753]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53194","iad23s42-in-x2003:http","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53675","[2606:2800:11f:17a5:191a:18d5:537:22f9]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53681","[2606:2800:21f:16d2:d9:26d7:10a3:cf1]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53718","[2603:1036:404:67::2]:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53719","[2603:1036:404:67::2]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53720","[2603:1036:404:67::2]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53721","[2603:1036:404:67::2]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53722","[2603:1036:404:67::2]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53723","[2603:1036:404:67::2]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53730","[2620:109:c002::6cae:a0a]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53731","[2620:109:c002::6cae:a0a]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53732","[2405:2300:a:105::9002:101]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53733","[2405:2300:a:105::9002:101]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53740","[2606:2800:220:2507:3935:49c0:56d6:104a]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53742","[2606:2800:220:235b:2d0:24b1:17e2:22a5]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53747","iad30s08-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53748","iad30s08-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53749","iad23s57-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53750","iad23s57-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53751","iad23s57-in-x06:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53752","iad23s57-in-x06:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53754","iad23s58-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53755","iad23s58-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53763","lga34s11-in-x0a:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53764","lga34s11-in-x0a:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53767","iad23s42-in-x2004:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53768","iad23s42-in-x2004:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53784","[2606:2800:11f:7de:d31:7db:168f:1225]:https","TIME_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53847","iad23s59-in-x0a:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53848","iad23s59-in-x0a:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53851","iad30s07-in-x05:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:53852","iad30s07-in-x05:https","ESTABLISHED"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:55668","[2001:559:19:3097::57]:https","CLOSE_WAIT"
"TCP","[2601:98b:8200:5064:b914:a8fd:151a:c621]:65036","[2620:119:50e0:105::6cae:b11]:https","ESTABLISHED"
"TCP","[fe80::a53d:3e2:b9df:afda%7]:2032","thig1:0","LISTENING"
"UDP","0.0.0.0:5050","*:*",""
"UDP","0.0.0.0:5353","*:*",""
"UDP","0.0.0.0:5355","*:*",""
"UDP","0.0.0.0:17500","*:*",""
"UDP","0.0.0.0:57946","*:*",""
"UDP","0.0.0.0:63691","*:*",""
"UDP","10.0.0.76:137","*:*",""
"UDP","10.0.0.76:138","*:*",""
"UDP","10.0.0.76:1900","*:*",""
"UDP","10.0.0.76:58238","*:*",""
"UDP","127.0.0.1:1233","*:*",""
"UDP","127.0.0.1:1900","*:*",""
"UDP","127.0.0.1:49666","*:*",""
"UDP","127.0.0.1:58239","*:*",""
"UDP","[::]:5353","*:*",""
"UDP","[::]:5355","*:*",""
"UDP","[::]:63691","*:*",""
"UDP","[::1]:1900","*:*",""
"UDP","[::1]:58237","*:*",""
"UDP","[fe80::a53d:3e2:b9df:afda%7]:1900","*:*",""
"UDP","[fe80::a53d:3e2:b9df:afda%7]:58236","*:*",""
